reviewId,userName,review,rating,thumbsUpCount,reviewCreatedVersion,tanggal,replyContent,repliedAt,appVersion,source_app,app_id,clean_review,word_count_raw,word_count_clean,dominant_topic,topic_probability
00dc564b-d8cd-41f6-a527-aa577ca87afb,Arifan Tzy,"ini aplikasi knp gk keluar otp dr nomor telpon ya, jaringan sama data bagus",1,0,4.16.1,2026-05-28 19:50:15,,,4.16.1,Mobile JKN,app.bpjs.mobile,knp otp nomor telpon jaring data,14,6,2,0.48333416822701586
361f0955-5c36-4ea0-83da-cad16fd0c610,Els Anita,jangan suka update2 terus,3,0,4.14.0,2026-05-28 19:26:41,,,4.14.0,Mobile JKN,app.bpjs.mobile,suka update,4,2,1,0.41682504421761934
90310bc1-e0db-4a06-af56-bc72bc5aa1f2,Muhammad Rifqi Wardhana,"nomor udah benar, jaringan wifi lancar, nonton Drakor 1080mbps bisa, itu pas registrasi nomor dibilang gada jaringan, jadi ini gimana sihhh aneh sekali",1,0,4.17.0,2026-05-28 19:21:52,,,4.17.0,Mobile JKN,app.bpjs.mobile,nomor jaring wifi lancar nonton drakor mbps pas registrasi nomor bilang gada jaring gimana sihhh aneh,23,16,2,0.9299485788327883
adc0b0e2-cef2-4b8b-b11d-337cd3729198,anwar Saeful,mudah dan cepat .mantap aplikasi mobike jkn,5,0,4.17.0,2026-05-28 19:14:20,,,4.17.0,Mobile JKN,app.bpjs.mobile,mudah cepat mobike,7,3,4,0.8124941651609767
a0e785b5-f01d-4ffe-ae27-1ca41a9e22bd,Almausuf Daniel,tidak bisa mendaftar,1,0,4.16.1,2026-05-28 19:12:57,,,4.16.1,Mobile JKN,app.bpjs.mobile,daftar,3,1,4,0.609001746811844
e845db3d-cbc8-4c12-90df-4f686c67178e,EDI HANDOYO,"Masa setiap minta kode otp baru harus ada pulsa nya, emang ga bisa di buat gratis tah kaya google atau whatsapp gtu,,, sama verifikasi wajah, tolong lah jangan miroring jadi bingung arah nya, bikin biasa aja kan enak loh",2,0,4.16.1,2026-05-28 19:11:41,"Hi.. Mohon maaf atas ketidaknyamanannya. Pastikan jaringan baik dan No HP yang terdaftar adalah no HP prabayar yang aktif dengan pulsa yang mencukupi agar kode OTP dapat masuk. Saat ini Operator yang sudah tersedia untuk SMS OTP adalah pengguna XL, Axis, Telkomsel, Indosat, Tri dan Smartfren. Terima kasih.",2023-03-06 09:52:40,4.16.1,Mobile JKN,app.bpjs.mobile,kode otp pulsa emang gratis tah kaya google whatsapp gtu verifikasi wajah miroring bingung arah enak loh,39,17,3,0.9230186141125031
1813f9f6-2e63-47de-a0fe-9916b2618d76,Caca Purnama,sangat memuaskan,5,0,,2026-05-28 19:04:46,,,,Mobile JKN,app.bpjs.mobile,muas,2,1,4,0.6249675468383351
c96b418c-1a36-4247-a22f-d492db1adea5,Dede Permana,okke,5,0,4.17.0,2026-05-28 18:48:50,,,4.17.0,Mobile JKN,app.bpjs.mobile,okke,1,1,1,0.25
9d5f7a70-6d11-4631-9bda-411aca8b884b,Dilla dillaaa,"sengaja kasih bintang 5 biar kebaca..JKN SEKARANG APK NYA JELEK BGT SUMPAH.Tagihan tiap bulan masuk,giliran mau cek lewat apk malah log out,udah coba log in berpuluh puluh kali selalu gak bisa..Udah komplain lewat wa resmi gak ada balasan..Giliran nagih gercep amat,giliran w mau cek tagihan w lewat apknya ehh malah gak bisa log in gilaa!",5,0,4.16.1,2026-05-28 18:45:07,,,4.16.1,Mobile JKN,app.bpjs.mobile,sengaja bintang biar baca sumpah tagih masuk gilir cek log out log puluh puluh komplain resmi balas gilir nagih gercep gilir cek tagih apknya ehh log gilaa,55,27,1,0.7696691491341794
b28dfaab-39ce-4eb7-83b5-cafb7860b1dc,Kentang,"aplikasi gajelas susah bnget dipake, buat daftar raja pas verifikasi muka nggak bisa-bisa nggak jelas aplikasi emangnya aplikasi punya pemerintah tapi fasilitas aplikasinya kalah sama aplikasi-aplikasi punya orang-orang biasa",1,0,4.17.0,2026-05-28 18:43:31,,,4.17.0,Mobile JKN,app.bpjs.mobile,gajelas susah bnget dipake daftar raja pas verifikasi muka emang perintah fasilitas aplikasi kalah,29,14,1,0.4550957886110437
1edaf2ba-d471-435b-b938-c410a36448ad,Dayu Kristi,terlalu cepat sesi nasa berlangsungnya habis tiap mau masuk harus sering2 login kelamaan ga kepake minta login terus,2,0,4.17.0,2026-05-28 18:37:42,,,4.17.0,Mobile JKN,app.bpjs.mobile,cepat sesi nasa langsung habis masuk login kepake login,18,9,1,0.6064268488828278
0b3feec7-df57-4656-8880-5e32c2393e12,Probo Rini,riwayat daftar online yg dibatal kan tidak mau hilang jadi tidak bisa reservasi pendaftaran baru,1,0,4.16.1,2026-05-28 18:28:50,,,4.16.1,Mobile JKN,app.bpjs.mobile,riwayat daftar online batal hilang reservasi daftar,15,7,4,0.8474526792851595
f3328610-0b57-4f9e-b8c5-14a542290461,Fauzianur Rahman,mantapp,5,0,4.16.1,2026-05-28 18:24:29,,,4.16.1,Mobile JKN,app.bpjs.mobile,mantapp,1,1,1,0.25
b4a30e3f-79d2-4737-8126-63ff5d204810,Rachmad Arbai,Sangat membantu,5,0,4.17.0,2026-05-28 18:22:59,,,4.17.0,Mobile JKN,app.bpjs.mobile,bantu,2,1,2,0.6194873619609419
68107626-b0b6-4224-b165-3748e91396ba,Luthfy Rizki D,ga guna gw nunggu verifikasi lama najiss makin di persulit memang di Indonesia,1,0,4.17.0,2026-05-28 18:22:45,,,4.17.0,Mobile JKN,app.bpjs.mobile,nunggu verifikasi najiss sulit indonesia,13,5,3,0.534675574154224
32c1c55c-743c-46a6-b228-782d8d3a859b,Muhammad Shofiullah,sangat mudah untuk digunakan periksa,5,0,4.17.0,2026-05-28 18:16:20,,,4.17.0,Mobile JKN,app.bpjs.mobile,mudah periksa,5,2,4,0.7497701579630439
